ParentEduc,IsFirstChild,NrSiblings,MathScore,ReadingScore,WritingScore,PracticeSport,ParentMaritalStatus,LunchType,TestPrep,TransportMeans,WklyStudyHours,EthnicGroup,Gender
master's degree,no,1.0,87,84,82,3.0,3.0,1.0,0.0,2.0,1.0,4.0,1.0
some high school,yes,1.0,52,36,40,2.0,3.0,0.0,2.0,1.0,1.0,3.0,1.0
some college,yes,2.0,89,75,71,2.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0
some college,no,6.0,70,78,80,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0
bachelor's degree,yes,1.0,76,80,76,3.0,2.0,0.0,2.0,1.0,2.0,4.0,1.0
bachelor's degree,yes,1.0,56,54,47,3.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0
some high school,yes,1.0,51,54,41,3.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0
high school,yes,0.0,67,54,54,3.0,1.0,1.0,0.0,2.0,1.0,5.0,1.0
associate's degree,yes,1.0,59,66,67,3.0,2.0,1.0,1.0,1.0,0.0,3.0,0.0
some college,yes,0.0,73,61,70,3.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0
some high school,no,1.0,76,72,71,3.0,2.0,1.0,0.0,2.0,0.0,4.0,0.0
some college,no,2.0,60,62,65,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0
some college,VeriYok,1.0,41,54,54,2.0,3.0,0.0,2.0,1.0,1.0,5.0,0.0
high school,no,1.0,57,43,47,3.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0
some college,yes,3.0,90,74,79,3.0,1.0,1.0,0.0,1.0,2.0,4.0,1.0
some college,yes,1.0,21,38,33,2.0,3.0,0.0,0.0,2.0,1.0,3.0,0.0
bachelor's degree,yes,1.0,65,73,79,3.0,2.0,1.0,2.0,1.0,1.0,4.0,0.0
associate's degree,no,3.0,100,100,95,2.0,2.0,0.0,2.0,1.0,0.0,5.0,1.0
some high school,no,2.0,62,67,69,3.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0
associate's degree,yes,2.0,57,68,64,3.0,3.0,1.0,2.0,2.0,1.0,2.0,0.0
bachelor's degree,no,1.0,54,49,47,3.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0
some high school,no,2.0,58,65,58,1.0,3.0,1.0,0.0,0.0,1.0,4.0,1.0
some college,yes,3.0,69,88,88,2.0,2.0,1.0,2.0,2.0,1.0,3.0,0.0
high school,yes,1.0,67,75,79,2.0,2.0,0.0,2.0,2.0,0.0,5.0,0.0
VeriYok,yes,2.0,58,59,58,3.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0
associate's degree,yes,2.0,62,87,89,2.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0
associate's degree,no,3.0,70,63,66,2.0,2.0,0.0,0.0,2.0,2.0,4.0,1.0
associate's degree,yes,2.0,82,78,74,3.0,3.0,0.0,2.0,1.0,0.0,2.0,1.0
some college,yes,3.0,75,88,85,3.0,2.0,0.0,2.0,2.0,0.0,5.0,0.0
master's degree,no,2.0,48,53,52,1.0,3.0,0.0,0.0,2.0,0.0,2.0,1.0
high school,yes,1.0,52,53,49,3.0,1.0,1.0,0.0,2.0,0.0,3.0,1.0
master's degree,yes,3.0,76,89,86,1.0,2.0,1.0,0.0,1.0,1.0,5.0,0.0
bachelor's degree,yes,0.0,96,100,100,3.0,2.0,1.0,2.0,2.0,0.0,3.0,0.0
high school,yes,5.0,53,51,51,3.0,3.0,0.0,2.0,1.0,0.0,3.0,1.0
master's degree,no,1.0,62,79,83,2.0,2.0,0.0,2.0,1.0,2.0,2.0,0.0
high school,yes,2.0,70,84,79,2.0,2.0,1.0,2.0,1.0,0.0,2.0,0.0
high school,yes,5.0,76,75,77,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0
some high school,no,3.0,91,86,76,3.0,2.0,1.0,0.0,2.0,1.0,5.0,1.0
some college,yes,3.0,76,84,78,1.0,3.0,1.0,0.0,2.0,0.0,4.0,0.0
associate's degree,yes,2.0,63,67,70,3.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0
bachelor's degree,no,1.0,41,50,52,3.0,2.0,0.0,2.0,2.0,1.0,3.0,0.0
master's degree,yes,1.0,81,92,89,3.0,1.0,1.0,2.0,2.0,0.0,3.0,0.0
high school,no,2.0,44,53,56,3.0,2.0,0.0,2.0,2.0,1.0,2.0,0.0
associate's degree,yes,2.0,70,76,77,2.0,2.0,1.0,2.0,2.0,1.0,3.0,0.0
master's degree,yes,2.0,54,72,65,2.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0
some high school,yes,0.0,99,100,100,2.0,1.0,1.0,2.0,2.0,0.0,4.0,0.0
master's degree,yes,2.0,60,68,75,3.0,3.0,0.0,2.0,1.0,1.0,3.0,1.0
some college,yes,1.0,46,64,66,3.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0
high school,yes,3.0,50,50,47,3.0,2.0,1.0,0.0,1.0,3.0,5.0,0.0
associate's degree,no,2.0,63,67,68,3.0,3.0,1.0,0.0,1.0,1.0,4.0,0.0
associate's degree,yes,5.0,61,65,62,1.0,2.0,0.0,2.0,1.0,1.0,3.0,1.0
high school,yes,1.0,75,73,62,1.0,2.0,1.0,0.0,2.0,1.0,5.0,1.0
some high school,no,4.0,62,66,68,3.0,2.0,1.0,2.0,1.0,0.0,4.0,1.0
some high school,no,3.0,47,51,45,2.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0
bachelor's degree,yes,1.0,74,86,85,3.0,3.0,1.0,0.0,2.0,1.0,3.0,0.0
associate's degree,yes,2.0,66,65,69,3.0,2.0,1.0,0.0,2.0,0.0,5.0,0.0
some college,no,2.0,73,81,77,3.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0
some high school,no,3.0,62,64,66,3.0,3.0,1.0,0.0,1.0,3.0,2.0,0.0
some college,yes,4.0,79,62,63,2.0,2.0,1.0,2.0,0.0,3.0,4.0,1.0
master's degree,yes,1.0,69,85,87,2.0,0.0,1.0,2.0,2.0,1.0,3.0,0.0
associate's degree,no,4.0,60,54,52,2.0,2.0,1.0,0.0,2.0,1.0,4.0,1.0
VeriYok,yes,1.0,57,67,63,1.0,2.0,0.0,2.0,2.0,0.0,3.0,1.0
high school,no,7.0,56,56,52,0.0,2.0,0.0,0.0,1.0,2.0,5.0,1.0
some college,yes,3.0,47,54,57,2.0,4.0,0.0,0.0,0.0,2.0,2.0,0.0
bachelor's degree,yes,3.0,80,80,77,2.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0
associate's degree,no,1.0,66,83,86,2.0,3.0,1.0,2.0,1.0,1.0,3.0,0.0
some college,yes,3.0,63,79,75,3.0,1.0,0.0,0.0,2.0,1.0,4.0,0.0
associate's degree,yes,2.0,69,77,69,3.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0
associate's degree,yes,2.0,58,70,69,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
some college,yes,1.0,58,40,42,2.0,3.0,1.0,0.0,0.0,1.0,3.0,1.0
some high school,yes,2.0,71,69,76,0.0,2.0,1.0,2.0,2.0,1.0,4.0,1.0
bachelor's degree,yes,4.0,84,62,63,2.0,2.0,1.0,0.0,2.0,0.0,5.0,1.0
high school,no,2.0,83,81,77,2.0,2.0,1.0,2.0,2.0,0.0,5.0,1.0
some college,yes,1.0,73,80,76,2.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0
some college,no,2.0,58,61,66,3.0,3.0,0.0,1.0,0.0,3.0,2.0,0.0
some high school,yes,3.0,77,77,77,3.0,4.0,0.0,2.0,2.0,1.0,4.0,1.0
some college,yes,3.0,35,28,27,3.0,2.0,0.0,1.0,2.0,0.0,3.0,1.0
high school,yes,2.0,42,62,60,3.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0
associate's degree,no,1.0,61,51,57,2.0,3.0,0.0,2.0,2.0,0.0,3.0,1.0
high school,yes,1.0,87,91,81,3.0,2.0,1.0,1.0,1.0,0.0,5.0,1.0
some high school,no,2.0,86,84,76,2.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0
associate's degree,yes,3.0,80,84,86,3.0,2.0,0.0,2.0,2.0,1.0,5.0,0.0
high school,no,3.0,33,41,39,2.0,2.0,0.0,1.0,0.0,1.0,3.0,0.0
high school,no,2.0,64,75,68,3.0,2.0,0.0,0.0,2.0,1.0,2.0,1.0
some high school,no,1.0,59,55,54,1.0,3.0,1.0,2.0,0.0,0.0,2.0,1.0
high school,yes,4.0,57,69,75,2.0,4.0,1.0,2.0,2.0,0.0,4.0,0.0
associate's degree,yes,0.0,89,86,74,3.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0
some high school,no,3.0,55,65,62,3.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0
some high school,no,3.0,88,81,76,2.0,2.0,1.0,0.0,2.0,0.0,4.0,1.0
associate's degree,VeriYok,3.0,55,67,76,2.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0
master's degree,no,2.0,43,55,52,3.0,2.0,0.0,0.0,1.0,1.0,5.0,0.0
some college,yes,5.0,72,72,71,3.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0
high school,yes,0.0,58,50,55,2.0,3.0,1.0,0.0,2.0,0.0,4.0,1.0
VeriYok,no,4.0,68,72,64,3.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0
some college,yes,3.0,93,97,98,2.0,2.0,1.0,2.0,2.0,2.0,3.0,0.0
some college,yes,0.0,78,64,67,2.0,2.0,1.0,0.0,0.0,0.0,4.0,1.0
associate's degree,VeriYok,1.0,47,43,43,2.0,2.0,1.0,0.0,1.0,0.0,3.0,1.0
bachelor's degree,yes,2.0,67,86,83,3.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0
some high school,yes,3.0,94,88,79,3.0,1.0,1.0,0.0,2.0,2.0,5.0,1.0
bachelor's degree,no,3.0,85,83,85,3.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0
associate's degree,no,1.0,84,77,80,2.0,2.0,1.0,0.0,2.0,2.0,4.0,1.0
bachelor's degree,no,2.0,62,65,67,2.0,1.0,0.0,0.0,2.0,1.0,4.0,1.0
some high school,yes,4.0,62,59,72,3.0,2.0,1.0,1.0,2.0,1.0,4.0,0.0
some college,yes,2.0,57,53,53,2.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0
associate's degree,yes,1.0,84,80,80,3.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0
high school,yes,1.0,75,69,67,0.0,1.0,0.0,2.0,1.0,2.0,4.0,1.0
bachelor's degree,no,4.0,82,84,85,2.0,3.0,1.0,0.0,1.0,0.0,5.0,0.0
some college,no,2.0,58,50,43,2.0,3.0,1.0,1.0,2.0,1.0,5.0,1.0
some high school,yes,1.0,74,73,69,2.0,1.0,1.0,0.0,2.0,1.0,4.0,1.0
associate's degree,no,3.0,82,74,69,3.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0
associate's degree,no,2.0,91,77,75,2.0,2.0,1.0,1.0,2.0,0.0,5.0,1.0
high school,yes,1.0,58,70,68,3.0,3.0,1.0,2.0,1.0,0.0,2.0,0.0
high school,yes,2.0,63,63,60,3.0,2.0,1.0,0.0,1.0,1.0,2.0,0.0
high school,no,2.0,70,60,54,3.0,2.0,1.0,0.0,2.0,2.0,0.0,1.0
some high school,yes,2.0,47,49,49,3.0,3.0,1.0,2.0,2.0,0.0,1.0,1.0
some college,VeriYok,4.0,70,82,83,2.0,2.0,0.0,0.0,2.0,1.0,4.0,0.0
some high school,yes,3.0,60,70,70,3.0,3.0,1.0,2.0,1.0,0.0,2.0,0.0
master's degree,no,3.0,80,80,72,3.0,2.0,1.0,0.0,2.0,3.0,4.0,1.0
high school,yes,0.0,54,52,52,3.0,2.0,1.0,0.0,1.0,0.0,4.0,1.0
some college,no,1.0,62,73,70,3.0,3.0,1.0,0.0,2.0,0.0,5.0,0.0
associate's degree,no,5.0,62,71,66,3.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0
associate's degree,VeriYok,1.0,80,78,78,2.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0
some high school,yes,1.0,65,80,78,3.0,2.0,0.0,2.0,1.0,2.0,3.0,0.0
some college,no,2.0,79,79,78,3.0,2.0,1.0,2.0,2.0,0.0,3.0,1.0
some high school,no,2.0,45,50,52,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0
high school,yes,1.0,99,93,90,3.0,3.0,1.0,0.0,1.0,0.0,5.0,0.0
high school,no,2.0,76,73,68,3.0,2.0,1.0,0.0,1.0,0.0,4.0,1.0
some high school,no,1.0,57,41,40,3.0,1.0,0.0,0.0,2.0,1.0,4.0,1.0
bachelor's degree,no,2.0,61,73,79,3.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0
high school,no,3.0,71,73,78,2.0,2.0,1.0,0.0,2.0,0.0,4.0,0.0
associate's degree,yes,5.0,93,94,99,2.0,2.0,1.0,2.0,2.0,2.0,4.0,0.0
some college,no,2.0,71,76,70,3.0,2.0,0.0,0.0,2.0,3.0,5.0,0.0
bachelor's degree,yes,2.0,69,63,61,3.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0
some college,yes,1.0,57,48,42,2.0,3.0,1.0,1.0,0.0,1.0,3.0,1.0
associate's degree,yes,2.0,48,53,59,2.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0
some college,no,2.0,65,70,71,3.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0
some college,yes,1.0,85,83,74,0.0,4.0,1.0,2.0,2.0,1.0,2.0,1.0
bachelor's degree,no,3.0,83,78,73,3.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0
some high school,yes,3.0,82,90,91,3.0,2.0,1.0,2.0,1.0,1.0,3.0,0.0
VeriYok,no,4.0,57,62,73,3.0,3.0,1.0,2.0,2.0,1.0,5.0,0.0
some high school,yes,1.0,65,86,80,3.0,2.0,0.0,0.0,2.0,0.0,3.0,0.0
bachelor's degree,no,2.0,73,56,57,3.0,4.0,0.0,0.0,2.0,0.0,2.0,1.0
high school,no,2.0,45,48,46,3.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0
bachelor's degree,no,3.0,75,80,86,2.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0
some college,yes,2.0,67,76,76,1.0,0.0,0.0,2.0,2.0,0.0,4.0,0.0
some high school,yes,0.0,36,45,46,2.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0
associate's degree,yes,3.0,78,80,79,1.0,2.0,1.0,2.0,2.0,0.0,2.0,1.0
associate's degree,yes,0.0,99,83,90,2.0,2.0,1.0,2.0,1.0,0.0,5.0,1.0
some high school,no,1.0,64,87,80,3.0,2.0,1.0,0.0,2.0,1.0,2.0,0.0
bachelor's degree,yes,0.0,85,73,74,3.0,3.0,0.0,0.0,0.0,1.0,2.0,1.0
some high school,yes,1.0,79,77,78,3.0,2.0,1.0,2.0,2.0,2.0,0.0,1.0
associate's degree,no,2.0,76,70,68,3.0,2.0,1.0,0.0,2.0,0.0,3.0,1.0
some high school,yes,2.0,83,71,68,3.0,2.0,1.0,0.0,1.0,1.0,4.0,1.0
some high school,yes,1.0,61,59,55,1.0,2.0,1.0,2.0,1.0,0.0,3.0,1.0
bachelor's degree,yes,2.0,66,74,76,3.0,2.0,1.0,0.0,2.0,2.0,5.0,0.0
high school,yes,3.0,80,78,82,2.0,3.0,0.0,2.0,2.0,0.0,4.0,1.0
associate's degree,yes,1.0,66,61,59,1.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0
some high school,no,2.0,47,41,44,2.0,4.0,1.0,2.0,2.0,0.0,0.0,1.0
